x,y,z
90,390,77
98,401,77
100,380,77
102,386,77
104,363,77
106,373,77
107,397,77
111,379,77
112,351,77
112,371,77
113,339,77
113,385,77
115,393,77
117,406,77
118,389,77
120,325,77
120,376,77
121,351,77
121,359,77
124,372,77
125,340,77
125,392,77
126,310,77
128,400,77
132,336,77
132,391,77
133,375,77
134,325,77
134,415,77
135,347,77
137,305,77
138,383,77
139,391,77
139,415,77
140,295,77
141,364,77
142,279,77
142,317,77
142,349,77
142,401,77
143,327,77
144,380,77
145,355,77
146,312,77
146,414,77
148,287,77
148,302,77
149,395,77
149,403,77
150,338,77
150,374,77
151,273,77
152,329,77
153,323,77
153,353,77
153,364,77
153,411,77
155,411,77
156,340,77
156,369,77
157,254,77
157,388,77
157,397,77
158,321,77
159,267,77
159,408,77
160,278,77
160,284,77
160,296,77
161,304,77
161,384,77
161,421,77
162,346,77
163,325,77
163,372,77
164,233,77
164,258,77
164,332,77
164,405,77
164,427,77
167,288,77
168,383,77
168,420,77
169,227,77
170,244,77
171,393,77
172,296,77
172,311,77
172,323,77
172,358,77
172,408,77
173,267,77
173,407,77
174,346,77
175,277,77
175,312,77
175,329,77
175,422,77
176,253,77
177,299,77
177,357,77
177,381,77
178,212,77
178,366,77
179,239,77
180,227,77
180,248,77
180,269,77
180,375,77
181,305,77
181,406,77
182,335,77
183,208,77
183,236,77
183,282,77
183,318,77
183,399,77
183,419,77
184,432,77
185,217,77
186,315,77
186,357,77
187,256,77
187,377,77
188,349,77
188,426,77
190,208,77
190,275,77
190,307,77
190,339,77
190,438,77
191,198,77
191,443,77
193,174,77
193,222,77
193,401,77
193,426,77
194,176,77
194,257,77
194,296,77
194,434,77
195,248,77
195,297,77
195,333,77
196,230,77
197,415,77
199,323,77
199,371,77
199,387,77
201,234,77
201,359,77
202,244,77
203,168,77
203,214,77
203,393,77
204,150,77
204,174,77
204,223,77
205,346,77
205,378,77
206,190,77
206,357,77
207,337,77
208,232,77
209,265,77
210,175,77
210,214,77
210,327,77
210,381,77
211,372,77
212,151,77
212,198,77
212,240,77
212,400,77
213,207,77
214,247,77
214,349,77
215,363,77
216,270,77
216,322,77
217,151,77
217,166,77
218,174,77
218,235,77
218,255,77
219,370,77
220,281,77
220,389,77
221,185,77
221,202,77
221,363,77
222,148,77
222,177,77
222,224,77
222,261,77
222,287,77
222,342,77
223,216,77
223,314,77
223,378,77
224,352,77
228,210,77
228,357,77
230,248,77
230,303,77
231,291,77
232,279,77
232,324,77
232,345,77
233,332,77
235,203,77
235,261,77
236,247,77
236,269,77
236,313,77
237,153,77
237,232,77
238,163,77
238,173,77
238,253,77
238,297,77
238,340,77
239,156,77
239,183,77
239,214,77
242,190,77
242,230,77
242,283,77
242,319,77
242,327,77
243,203,77
244,222,77
244,339,77
245,306,77
246,244,77
247,286,77
247,297,77
248,157,77
248,191,77
248,269,77
249,175,77
249,250,77
252,201,77
252,299,77
253,217,77
253,256,77
254,164,77
254,184,77
254,248,77
256,179,77
256,196,77
256,231,77
256,278,77
257,268,77
257,306,77
258,173,77
259,180,77
260,201,77
260,293,77
261,275,77
264,207,77
264,239,77
265,179,77
265,214,77
266,185,77
266,250,77
269,196,77
269,286,77
270,218,77
270,228,77
270,235,77
271,266,77
273,183,77
274,249,77
278,220,77
280,190,77
283,202,77
283,238,77
283,255,77
284,232,77
286,180,77
289,225,77
296,182,77
296,193,77
298,212,77
298,220,77
301,200,77
306,195,77
227,159,78
97,400,102
102,403,102
106,362,102
106,369,102
107,378,102
108,386,102
110,398,102
113,337,102
116,346,102
117,354,102
117,375,102
118,384,102
119,333,102
120,396,102
122,406,102
124,359,102
125,316,102
126,377,102
128,345,102
132,299,102
132,371,102
132,393,102
132,397,102
134,339,102
134,375,102
137,326,102
137,395,102
138,288,102
139,301,102
142,390,102
142,418,102
143,358,102
143,380,102
144,281,102
145,317,102
145,326,102
146,365,102
147,311,102
147,403,102
148,272,102
149,353,102
149,382,102
151,270,102
153,296,102
153,375,102
154,251,102
154,327,102
154,341,102
154,397,102
154,406,102
157,324,102
157,362,102
159,255,102
159,266,102
159,413,102
160,371,102
161,395,102
162,301,102
162,305,102
163,314,102
163,346,102
163,388,102
164,281,102
166,368,102
166,428,102
167,260,102
167,327,102
167,414,102
167,422,102
168,373,102
168,382,102
170,407,102
171,244,102
171,290,102
172,345,102
173,311,102
173,321,102
173,423,102
174,230,102
175,249,102
176,297,102
176,394,102
177,274,102
177,359,102
177,409,102
177,422,102
177,429,102
178,207,102
178,269,102
178,329,102
178,346,102
179,258,102
179,282,102
180,381,102
181,213,102
181,237,102
181,246,102
181,302,102
182,310,102
183,368,102
184,193,102
184,286,102
184,320,102
185,231,102
185,251,102
185,429,102
186,333,102
186,408,102
187,219,102
187,229,102
188,182,102
189,244,102
189,278,102
189,420,102
190,172,102
190,307,102
190,396,102
191,317,102
191,361,102
192,378,102
192,403,102
193,172,102
193,198,102
193,393,102
194,438,102
195,209,102
195,221,102
195,277,102
195,298,102
195,355,102
195,445,102
196,321,102
196,383,102
197,249,102
198,162,102
198,198,102
198,260,102
199,230,102
199,341,102
200,171,102
200,180,102
200,365,102
200,430,102
201,152,102
201,181,102
201,313,102
201,400,102
201,414,102
202,332,102
203,375,102
204,182,102
204,317,102
204,360,102
204,422,102
205,187,102
205,390,102
207,225,102
208,160,102
208,189,102
208,218,102
208,320,102
209,248,102
209,335,102
210,147,102
210,172,102
211,194,102
211,403,102
212,268,102
212,357,102
213,182,102
213,191,102
213,233,102
213,258,102
214,326,102
214,377,102
216,388,102
217,334,102
218,201,102
218,208,102
218,275,102
218,363,102
219,213,102
219,253,102
220,317,102
221,174,102
222,187,102
222,238,102
222,348,102
222,369,102
223,151,102
223,231,102
224,223,102
224,260,102
225,197,102
225,316,102
225,377,102
226,289,102
226,306,102
226,339,102
227,178,102
227,189,102
228,148,102
228,268,102
228,359,102
230,197,102
230,213,102
231,157,102
231,236,102
231,319,102
232,202,102
233,246,102
233,280,102
233,304,102
234,253,102
235,329,102
236,346,102
239,204,102
239,315,102
239,341,102
240,258,102
240,292,102
241,231,102
241,240,102
241,269,102
241,299,102
242,253,102
243,214,102
243,276,102
245,172,102
246,326,102
247,218,102
247,227,102
247,316,102
248,190,102
249,288,102
250,306,102
251,241,102
252,250,102
252,267,102
252,294,102
254,284,102
255,203,102
257,183,102
258,193,102
258,232,102
258,243,102
259,218,102
260,278,102
260,302,102
261,266,102
262,171,102
262,201,102
263,254,102
264,291,102
266,276,102
268,176,102
269,184,102
269,209,102
269,243,102
271,238,102
272,195,102
273,220,102
275,200,102
275,225,102
275,265,102
276,211,102
277,236,102
280,182,102
281,252,102
282,196,102
282,220,102
285,213,102
286,189,102
287,200,102
287,235,102
289,242,102
294,209,102
294,223,102
295,179,102
298,198,102
305,194,102
306,185,102
206,204,103
182,209,128
185,238,128
216,255,128
279,176,128
85,397,129
89,389,129
98,380,129
104,386,129
105,403,129
109,366,129
109,382,129
110,358,129
112,374,129
114,350,129
115,336,129
115,398,129
116,360,129
121,332,129
121,342,129
122,380,129
123,326,129
123,353,129
125,367,129
125,391,129
125,402,129
127,315,129
128,375,129
131,357,129
131,378,129
131,396,129
134,342,129
134,369,129
137,411,129
137,421,129
138,326,129
138,335,129
138,394,129
139,318,129
140,291,129
141,376,129
141,403,129
143,298,129
143,321,129
143,343,129
144,366,129
145,355,129
145,391,129
147,312,129
147,415,129
149,283,129
150,334,129
152,298,129
152,355,129
153,405,129
155,292,129
155,315,129
155,378,129
156,271,129
158,328,129
158,370,129
158,398,129
159,250,129
159,283,129
159,405,129
159,417,129
160,352,129
161,245,129
161,393,129
162,312,129
163,303,129
164,298,129
164,322,129
165,276,129
167,259,129
167,417,129
168,234,129
168,283,129
168,386,129
168,428,129
171,214,129
171,288,129
171,415,129
172,332,129
172,405,129
173,312,129
173,375,129
174,226,129
174,321,129
175,246,129
176,346,129
177,296,129
178,214,129
178,237,129
178,359,129
179,406,129
179,413,129
179,422,129
180,431,129
182,301,129
182,328,129
183,281,129
183,386,129
184,201,129
184,248,129
185,270,129
185,442,129
186,188,129
186,378,129
187,308,129
187,346,129
188,251,129
189,192,129
189,285,129
189,320,129
189,367,129
189,422,129
190,178,129
190,334,129
192,185,129
192,400,129
193,174,129
193,222,129
193,430,129
193,436,129
194,248,129
194,379,129
195,406,129
197,278,129
198,225,129
198,356,129
198,388,129
199,213,129
200,199,129
200,415,129
201,174,129
202,166,129
202,251,129
202,301,129
202,329,129
202,340,129
202,420,129
202,429,129
203,234,129
203,291,129
203,367,129
204,155,129
204,264,129
204,309,129
205,143,129
205,377,129
206,202,129
207,317,129
207,410,129
208,185,129
208,186,129
208,265,129
208,399,129
208,413,129
209,346,129
209,387,129
211,227,129
212,194,129
212,225,129
212,335,129
212,395,129
213,216,129
213,247,129
214,152,129
214,166,129
215,195,129
215,345,129
216,172,129
216,321,129
216,357,129
217,276,129
217,390,129
218,179,129
218,203,129
218,378,129
219,156,129
219,213,129
220,236,129
221,184,129
221,346,129
221,364,129
222,210,129
222,333,129
224,275,129
225,155,129
226,150,129
226,241,129
226,249,129
227,338,129
228,170,129
228,179,129
228,257,129
228,315,129
229,162,129
229,230,129
229,264,129
229,293,129
231,172,129
231,177,129
231,294,129
231,307,129
231,358,129
232,150,129
232,188,129
233,197,129
234,274,129
235,318,129
236,156,129
236,195,129
236,333,129
237,182,129
237,236,129
237,247,129
237,254,129
237,306,129
238,208,129
238,324,129
239,293,129
240,283,129
241,341,129
242,200,129
243,205,129
243,316,129
244,266,129
245,228,129
247,251,129
247,276,129
248,241,129
248,259,129
249,186,129
249,323,129
250,159,129
251,219,129
252,203,129
253,285,129
253,307,129
254,195,129
255,172,129
255,245,129
255,293,129
256,189,129
256,265,129
262,233,129
262,244,129
263,165,129
263,223,129
263,255,129
263,272,129
264,202,129
264,216,129
265,184,129
266,279,129
267,174,129
267,232,129
267,268,129
272,181,129
272,208,129
273,240,129
273,252,129
275,196,129
276,215,129
277,269,129
280,221,129
280,233,129
281,190,129
286,211,129
288,221,129
290,195,129
293,200,129
298,217,129
300,210,129
301,193,129
303,184,129
303,213,129
310,196,129
