x,y,z
5.1251,33.386,1.325
5.3447,34.192,1.325
11.202,28.92,1.325
11.422,27.017,1.325
12.007,33.899,1.325
12.081,29.286,1.325
12.154,31.995,1.325
12.3,33.167,1.325
13.179,29.359,1.325
13.472,30.092,1.325
13.838,24.527,1.325
13.838,29.14,1.325
13.984,30.018,1.325
14.863,21.965,1.325
15.741,27.822,1.325
18.743,26.431,1.325
19.622,24.674,1.325
19.915,23.868,1.325
4.1733,34.119,1.325
5.8573,24.674,1.325
9.3716,27.163,1.325
9.5913,28.481,1.325
11.348,25.479,1.325
11.348,29.652,1.325
11.715,24.967,1.325
12.74,31.776,1.325
13.179,34.558,1.325
13.252,28.334,1.325
13.472,32.435,1.325
14.277,32.508,1.325
14.936,32.068,1.325
16.693,26.504,1.325
16.84,30.165,1.325
19.036,27.09,1.325
19.549,23.063,1.325
19.915,21.745,1.325
20.5,22.258,1.325
20.94,22.331,1.325
21.379,20.354,1.325
7.2484,24.234,1.325
7.468,25.186,1.325
7.6876,25.772,1.325
8.9323,23.429,1.325
10.25,23.502,1.325
10.909,24.308,1.325
10.909,26.797,1.325
11.422,28.042,1.325
11.861,26.211,1.325
12.007,28.188,1.325
12.227,27.676,1.325
12.3,28.701,1.325
12.373,25.992,1.325
12.447,34.558,1.325
12.666,27.456,1.325
12.74,26.797,1.325
13.398,27.163,1.325
13.618,27.602,1.325
13.911,23.356,1.325
14.204,28.92,1.325
14.497,31.336,1.325
15.082,33.02,1.325
16.327,27.749,1.325
16.327,30.092,1.325
17.352,27.017,1.325
17.352,30.531,1.325
17.791,28.408,1.325
17.865,29.652,1.325
18.157,26.504,1.325
18.231,27.749,1.325
18.597,23.575,1.325
18.816,22.697,1.325
18.816,25.186,1.325
19.329,26.651,1.325
19.475,19.988,1.325
20.281,20.866,1.325
21.525,21.233,1.325
5.0519,35.144,1.325
5.3447,36.681,1.325
5.7108,27.309,1.325
6.0769,26.358,1.325
6.1501,26.87,1.325
6.2966,25.333,1.325
7.3216,23.649,1.325
7.8341,23.722,1.325
8.5662,26.211,1.325
9.3716,25.113,1.325
