x,y,z
7.1751,12.813,3.9881
7.3216,14.204,3.9881
7.6144,15.815,3.9881
7.6876,13.545,3.9881
7.7609,12.813,3.9881
7.9805,14.716,3.9881
8.1269,17.425,3.9881
8.2002,12.813,3.9881
8.2734,14.057,3.9881
8.2734,16.4,3.9881
8.5662,13.032,3.9881
8.5662,18.011,3.9881
8.5662,18.597,3.9881
8.6395,12.154,3.9881
8.7127,15.156,3.9881
8.7859,15.741,3.9881
8.7859,17.352,3.9881
8.9323,13.398,3.9881
8.9323,14.277,3.9881
8.9323,16.693,3.9881
9.0055,12.959,3.9881
9.2252,12.154,3.9881
9.2252,18.011,3.9881
9.4448,14.79,3.9881
9.518,17.059,3.9881
9.5913,13.618,3.9881
9.5913,15.302,3.9881
9.6645,18.231,3.9881
9.8109,13.179,3.9881
9.8841,12.3,3.9881
9.8841,14.497,3.9881
10.031,18.304,3.9881
10.031,18.67,3.9881
10.104,16.547,3.9881
10.25,12.74,3.9881
10.25,15.741,3.9881
10.397,13.765,3.9881
10.616,14.57,3.9881
10.689,16.547,3.9881
10.763,11.861,3.9881
10.763,13.179,3.9881
10.763,15.082,3.9881
10.836,17.718,3.9881
10.909,15.815,3.9881
10.982,13.838,3.9881
11.129,14.79,3.9881
11.129,17.425,3.9881
11.422,12.373,3.9881
11.422,14.057,3.9881
11.495,11.934,3.9881
11.495,16.034,3.9881
11.568,15.302,3.9881
11.568,16.693,3.9881
11.568,18.304,3.9881
11.641,17.572,3.9881
11.934,15.156,3.9881
12.007,12.3,3.9881
12.007,13.984,3.9881
12.081,14.423,3.9881
12.154,13.106,3.9881
12.227,16.254,3.9881
12.227,17.499,3.9881
12.373,12.593,3.9881
12.373,15.082,3.9881
12.52,16.62,3.9881
12.593,13.984,3.9881
12.593,15.741,3.9881
12.74,17.718,3.9881
12.813,11.641,3.9881
12.959,12.813,3.9881
12.959,14.936,3.9881
13.032,11.934,3.9881
13.179,13.765,3.9881
13.252,13.252,3.9881
13.325,15.229,3.9881
13.325,16.034,3.9881
13.472,16.84,3.9881
13.838,13.911,3.9881
13.838,17.499,3.9881
13.984,12.447,3.9881
13.984,14.423,3.9881
13.984,15.449,3.9881
14.057,13.252,3.9881
14.204,11.348,3.9881
14.35,12.081,3.9881
14.35,16.547,3.9881
14.643,14.131,3.9881
14.643,15.302,3.9881
14.863,15.888,3.9881
14.863,17.352,3.9881
14.936,14.936,3.9881
15.009,11.422,3.9881
15.009,11.934,3.9881
15.009,17.645,3.9881
15.229,12.373,3.9881
