x,y,z
4.8322,26.943,2.1949
6.2233,25.625,2.1949
6.5162,27.017,2.1949
7.6144,28.261,2.1949
8.6395,26.943,2.1949
9.8841,29.506,2.1949
11.715,24.674,2.1949
12.007,28.042,2.1949
12.3,26.797,2.1949
12.447,28.774,2.1949
13.252,28.408,2.1949
13.545,26.797,2.1949
14.79,25.772,2.1949
17.206,25.699,2.1949
17.718,25.552,2.1949
19.695,12.886,2.1949
6.7358,23.868,2.1949
7.1019,25.845,2.1949
8.2734,25.772,2.1949
8.7127,25.772,2.1949
12.227,23.283,2.1949
12.666,23.795,2.1949
13.545,24.015,2.1949
15.009,17.865,2.1949
6.443,27.529,2.1949
7.3948,24.747,2.1949
9.4448,24.6,2.1949
11.788,28.627,2.1949
13.765,19.475,2.1949
15.375,26.943,2.1949
22.038,12.3,2.1949
22.184,13.911,2.1949
6.3698,26.431,2.1949
6.9555,25.113,2.1949
7.0287,26.431,2.1949
7.1751,27.309,2.1949
7.6876,23.942,2.1949
8.3466,23.429,2.1949
8.5662,22.917,2.1949
9.152,24.161,2.1949
10.982,28.847,2.1949
12.3,22.77,2.1949
12.52,29.579,2.1949
13.106,18.231,2.1949
14.131,20.208,2.1949
14.423,18.304,2.1949
16.84,26.138,2.1949
17.645,16.547,2.1949
5.7108,24.747,2.1949
8.1269,23.795,2.1949
10.177,26.504,2.1949
11.348,30.238,2.1949
11.861,24.015,2.1949
12.666,21.891,2.1949
13.106,22.843,2.1949
8.5662,29.433,2.1949
12.3,21.379,2.1949
13.618,18.011,2.1949
21.086,14.277,2.1949
21.159,12.886,2.1949
21.452,12.3,2.1949
21.745,14.716,2.1949
22.258,15.082,2.1949
23.209,14.057,2.1949
26.065,5.7108,2.1949
6.5162,24.161,2.1949
7.3948,23.429,2.1949
7.6876,22.843,2.1949
12.3,19.768,2.1949
12.959,19.329,2.1949
13.618,18.963,2.1949
14.35,21.599,2.1949
14.863,14.936,2.1949
18.157,23.429,2.1949
18.377,24.747,2.1949
20.574,12.52,2.1949
22.331,16.327,2.1949
22.624,12.813,2.1949
6.8823,23.209,2.1949
11.788,19.329,2.1949
13.106,20.866,2.1949
13.545,20.647,2.1949
14.497,23.063,2.1949
15.375,20.5,2.1949
16.034,21.891,2.1949
17.132,12.74,2.1949
19.549,13.618,2.1949
19.915,14.497,2.1949
20.574,13.032,2.1949
20.866,15.156,2.1949
22.624,15.595,2.1949
13.691,22.331,2.1949
14.716,20.574,2.1949
14.936,23.136,2.1949
15.522,23.283,2.1949
17.279,12.081,2.1949
18.816,13.106,2.1949
19.109,14.936,2.1949
20.134,13.691,2.1949
21.306,10.397,2.1949
24.234,8.9323,2.1949
25.113,7.6144,2.1949
12.813,21.891,2.1949
13.618,21.745,2.1949
14.936,21.306,2.1949
14.936,22.111,2.1949
16.107,20.208,2.1949
17.132,19.988,2.1949
18.231,14.204,2.1949
19.329,12.373,2.1949
19.549,15.741,2.1949
21.086,15.741,2.1949
22.038,15.741,2.1949
24.308,8.0537,2.1949
25.259,6.5894,2.1949
25.406,5.784,2.1949
3.4411,26.504,2.1949
12.593,29.506,2.1949
16.107,21.233,2.1949
16.766,20.427,2.1949
17.059,21.891,2.1949
17.132,21.233,2.1949
17.572,20.647,2.1949
17.645,19.329,2.1949
17.791,13.179,2.1949
17.938,13.765,2.1949
19.988,15.668,2.1949
20.94,13.911,2.1949
22.404,12.3,2.1949
10.763,30.238,2.1949
12.886,21.379,2.1949
16.034,19.402,2.1949
16.4,22.477,2.1949
17.425,13.618,2.1949
17.938,15.815,2.1949
18.304,22.404,2.1949
20.793,9.152,2.1949
20.866,16.4,2.1949
21.379,16.986,2.1949
23.429,6.7358,2.1949
25.772,6.2233,2.1949
7.8341,21.672,2.1949
