x,y,z
66,368,41
85,350,41
89,369,41
104,386,41
118,368,41
135,403,41
160,337,41
164,383,41
168,366,41
170,393,41
181,388,41
185,366,41
202,352,41
235,351,41
242,349,41
269,176,41
92,326,41
97,353,41
113,352,41
119,352,41
167,318,41
173,325,41
185,328,41
205,244,41
88,376,41
101,338,41
129,336,41
161,391,41
188,266,41
210,368,41
301,168,41
303,190,41
87,361,41
95,343,41
96,361,41
98,373,41
105,327,41
114,320,41
117,313,41
125,330,41
150,394,41
168,311,41
171,404,41
179,249,41
193,276,41
197,250,41
230,357,41
241,226,41
78,338,41
111,325,41
139,362,41
155,413,41
162,328,41
173,299,41
179,312,41
117,402,41
168,292,41
186,246,41
288,195,41
289,176,41
293,168,41
297,201,41
304,206,41
317,192,41
356,78,41
89,330,41
101,320,41
105,312,41
168,270,41
177,264,41
186,259,41
196,295,41
203,204,41
248,320,41
251,338,41
281,171,41
305,223,41
309,175,41
94,317,41
161,264,41
179,285,41
185,282,41
198,315,41
210,280,41
219,299,41
234,174,41
267,186,41
272,198,41
281,178,41
285,207,41
309,213,41
187,305,41
201,281,41
204,316,41
212,318,41
236,165,41
257,179,41
261,204,41
275,187,41
291,142,41
331,122,41
343,104,41
175,299,41
186,297,41
204,291,41
204,302,41
220,276,41
234,273,41
249,194,41
264,169,41
267,215,41
288,215,41
301,215,41
332,110,41
345,90,41
347,79,41
47,362,41
172,403,41
220,290,41
229,279,41
233,299,41
234,290,41
240,282,41
241,264,41
243,180,41
245,188,41
273,214,41
286,190,41
306,168,41
147,413,41
176,292,41
219,265,41
224,307,41
238,186,41
245,216,41
250,306,41
284,125,41
285,224,41
292,232,41
320,92,41
352,85,41
107,296,41
180,395,41
202,376,41
228,186,41
231,196,41
256,171,41
257,214,41
257,331,41
304,227,41
312,133,41
324,126,41
329,140,41
331,88,41
341,70,41
214,290,41
230,268,41
232,205,41
245,205,41
252,275,41
261,223,41
273,229,41
296,155,41
306,146,41
309,127,41
318,117,41
326,133,41
334,81,41
34,350,41
72,358,41
131,403,41
132,275,41
177,298,41
224,215,41
228,330,41
232,219,41
238,312,41
252,338,41
254,202,41
289,148,41
291,133,41
291,158,41
311,120,41
322,101,41
328,105,41
62,357,41
206,363,41
223,207,41
232,306,41
243,345,41
270,127,41
277,146,41
303,137,41
314,86,41
324,73,41
52,325,41
54,348,41
74,349,41
77,384,41
85,386,41
96,403,41
97,416,41
110,402,41
195,167,41
216,306,41
249,231,41
256,222,41
259,158,41
274,121,41
277,158,41
281,137,41
307,90,41
315,109,41
316,126,41
337,72,41
57,332,41
77,397,41
95,387,41
102,392,41
142,385,41
218,323,41
220,198,41
228,229,41
228,245,41
228,358,41
234,325,41
246,169,41
259,317,41
261,233,41
267,139,41
292,143,41
297,115,41
300,107,41
307,100,41
322,86,41
50,340,41
53,359,41
64,350,41
68,341,41
80,412,41
184,182,41
196,234,41
219,216,41
225,136,41
228,345,41
241,228,41
243,330,41
258,128,41
258,326,41
262,125,41
274,107,41
276,134,41
284,117,41
287,237,41
301,83,41
301,121,41
305,111,41
43,310,41
47,322,41
55,318,41
82,292,41
91,402,41
92,376,41
99,275,41
108,239,41
109,277,41
113,251,41
121,401,41
138,259,41
139,269,41
139,370,41
152,218,41
152,350,41
182,367,41
187,339,41
196,374,41
198,363,41
206,327,41
210,343,41
217,332,41
232,149,41
234,245,41
246,225,41
252,141,41
263,148,41
264,117,41
270,111,41
276,241,41
287,109,41
298,97,41
309,160,41
310,74,41
318,181,41
333,132,41
38,321,41
43,285,41
43,336,41
66,305,41
66,379,41
80,245,41
85,261,41
86,281,41
88,396,41
94,233,41
122,264,41
145,237,41
147,259,41
150,254,41
151,377,41
155,328,41
159,350,41
169,193,41
175,380,41
210,168,41
216,230,41
217,237,41
232,338,41
242,250,41
247,127,41
260,165,41
284,94,41
286,103,41
294,87,41
299,74,41
31,313,41
68,279,41
70,298,41
70,314,41
74,263,41
82,269,41
96,266,41
101,254,41
104,369,41
107,264,41
118,371,41
127,227,41
128,394,41
131,378,41
133,225,41
137,350,41
140,244,41
143,232,41
147,244,41
148,345,41
157,244,41
170,201,41
196,329,41
202,344,41
205,300,41
206,372,41
211,215,41
213,242,41
213,352,41
216,252,41
218,340,41
231,165,41
236,236,41
236,345,41
239,135,41
246,150,41
255,249,41
319,195,41
32,301,41
33,341,41
53,281,41
59,363,41
70,272,41
88,253,41
91,425,41
116,286,41
122,231,41
124,241,41
125,355,41
127,274,41
130,203,41
131,260,41
137,253,41
139,391,41
145,387,41
147,332,41
156,381,41
165,343,41
166,212,41
168,386,41
170,224,41
173,183,41
176,358,41
185,195,41
185,213,41
185,350,41
187,229,41
188,329,41
189,219,41
190,367,41
195,344,41
204,176,41
204,224,41
215,265,41
220,141,41
223,161,41
224,148,41
241,159,41
243,154,41
244,342,41
315,165,41
39,293,41
50,289,41
57,301,41
68,262,41
68,365,41
76,299,41
90,273,41
95,288,41
100,383,41
102,362,41
113,213,41
113,297,41
116,378,41
125,365,41
125,376,41
129,344,41
134,331,41
137,214,41
150,394,41
153,387,41
154,183,41
160,222,41
165,375,41
172,368,41
173,374,41
177,160,41
177,210,41
181,328,41
198,352,41
207,140,41
221,350,41
224,172,41
231,175,41
233,124,41
234,136,41
253,334,41
260,102,41
309,61,41
355,77,41
28,295,41
39,285,41
52,274,41
58,267,41
60,278,41
63,290,41
77,279,41
77,429,41
92,305,41
111,271,41
115,265,41
118,221,41
141,197,41
147,191,41
150,228,41
150,270,41
154,209,41
155,403,41
159,214,41
159,233,41
159,339,41
160,200,41
162,182,41
164,366,41
165,169,41
168,403,41
172,362,41
173,346,41
176,393,41
178,352,41
180,225,41
182,172,41
198,186,41
198,212,41
199,192,41
205,160,41
206,217,41
208,150,41
212,203,41
214,151,41
214,194,41
231,158,41
243,109,41
87,312,41
103,352,41
107,285,41
111,327,41
114,343,41
120,320,41
121,352,41
133,370,41
157,248,41
159,260,41
169,253,41
172,246,41
178,237,41
184,388,41
195,204,41
197,148,41
