x,y,z
7.9805,19.549,3.4
8.0537,20.5,3.4
8.2734,20.061,3.4
8.2734,21.965,3.4
8.6395,22.038,3.4
8.7859,19.183,3.4
8.7859,21.306,3.4
9.0055,24.454,3.4
9.152,19.915,3.4
9.2984,20.72,3.4
9.2984,21.306,3.4
9.8841,20.866,3.4
9.9573,24.161,3.4
10.323,23.502,3.4
10.47,19.402,3.4
10.47,20.866,3.4
10.543,20.208,3.4
10.763,19.695,3.4
11.202,22.258,3.4
11.275,22.99,3.4
11.348,23.942,3.4
11.348,25.04,3.4
11.641,19.256,3.4
11.641,20.134,3.4
11.934,24.893,3.4
12.081,24.308,3.4
12.154,21.525,3.4
12.154,23.283,3.4
12.227,21.965,3.4
12.227,24.747,3.4
12.52,21.233,3.4
12.666,21.745,3.4
12.74,23.502,3.4
12.813,22.77,3.4
12.886,23.942,3.4
13.032,19.329,3.4
13.106,24.454,3.4
13.325,19.109,3.4
13.398,21.965,3.4
13.398,24.82,3.4
14.277,20.94,3.4
14.423,21.452,3.4
14.643,21.818,3.4
15.009,19.549,3.4
15.522,21.086,3.4
15.595,21.818,3.4
15.668,19.988,3.4
16.181,21.306,3.4
16.327,22.184,3.4
16.474,20.208,3.4
16.766,19.915,3.4
16.84,21.233,3.4
16.913,23.209,3.4
16.913,23.722,3.4
17.279,19.475,3.4
17.352,24.893,3.4
17.425,22.843,3.4
17.499,19.915,3.4
17.572,23.722,3.4
17.645,20.793,3.4
17.791,25.04,3.4
18.084,19.915,3.4
18.084,24.308,3.4
18.231,23.795,3.4
18.377,20.281,3.4
18.377,22.404,3.4
18.597,19.183,3.4
18.816,23.429,3.4
19.036,24.161,3.4
19.036,24.967,3.4
19.109,19.988,3.4
19.183,21.159,3.4
19.183,22.55,3.4
19.475,19.402,3.4
19.768,22.404,3.4
19.841,24.674,3.4
19.988,19.841,3.4
19.988,20.647,3.4
19.988,21.818,3.4
19.988,23.356,3.4
20.061,23.942,3.4
20.134,19.256,3.4
20.134,21.159,3.4
