x,y,z
5.784,22.697,4.9253
6.443,23.063,4.9253
6.5162,22.258,4.9253
6.8823,21.745,4.9253
7.1751,22.843,4.9253
7.5412,23.502,4.9253
7.8341,21.306,4.9253
7.9073,20.866,4.9253
7.9805,23.209,4.9253
8.2002,24.234,4.9253
8.3466,23.502,4.9253
8.4198,22.111,4.9253
8.5662,19.695,4.9253
8.7127,20.574,4.9253
8.7127,21.159,4.9253
8.9323,19.841,4.9253
8.9323,23.575,4.9253
9.0055,22.624,4.9253
9.0787,19.402,4.9253
9.2252,21.452,4.9253
9.3716,19.183,4.9253
9.4448,20.793,4.9253
9.5913,23.063,4.9253
9.6645,21.891,4.9253
9.9573,20.94,4.9253
10.031,20.061,4.9253
10.177,20.647,4.9253
10.323,18.963,4.9253
10.689,17.718,4.9253
10.982,16.766,4.9253
10.982,19.402,4.9253
11.275,19.695,4.9253
11.348,17.791,4.9253
11.568,18.377,4.9253
11.641,17.279,4.9253
12.081,18.743,4.9253
12.154,18.011,4.9253
12.373,20.061,4.9253
12.593,16.474,4.9253
12.666,18.377,4.9253
12.813,19.183,4.9253
12.886,15.302,4.9253
12.886,17.279,4.9253
13.032,16.254,4.9253
13.252,17.645,4.9253
13.325,18.524,4.9253
13.472,14.423,4.9253
13.472,19.183,4.9253
13.618,15.302,4.9253
13.691,16.181,4.9253
13.838,16.693,4.9253
13.911,17.425,4.9253
13.984,17.865,4.9253
14.131,14.79,4.9253
14.204,15.522,4.9253
14.277,13.618,4.9253
14.497,14.716,4.9253
14.643,16.84,4.9253
14.863,12.74,4.9253
15.009,15.082,4.9253
15.082,13.765,4.9253
15.156,14.131,4.9253
15.156,16.84,4.9253
15.302,13.032,4.9253
15.449,15.082,4.9253
15.522,13.545,4.9253
15.595,16.181,4.9253
15.815,12.886,4.9253
15.888,15.522,4.9253
16.254,13.691,4.9253
16.254,14.57,4.9253
16.4,10.909,4.9253
16.547,11.788,4.9253
16.547,12.593,4.9253
16.62,13.838,4.9253
16.693,14.131,4.9253
16.84,14.35,4.9253
16.986,11.861,4.9253
17.059,13.618,4.9253
17.425,11.495,4.9253
17.499,10.836,4.9253
17.645,11.934,4.9253
17.791,10.104,4.9253
17.865,12.959,4.9253
17.938,13.252,4.9253
18.157,9.6645,4.9253
18.304,11.422,4.9253
18.377,12.3,4.9253
18.524,11.056,4.9253
18.524,12.74,4.9253
18.67,13.618,4.9253
18.816,8.6395,4.9253
18.89,10.616,4.9253
18.963,10.323,4.9253
19.109,9.9573,4.9253
19.109,12.447,4.9253
19.183,8.4198,4.9253
19.329,12.154,4.9253
19.549,9.2252,4.9253
19.549,11.348,4.9253
19.768,8.7127,4.9253
19.768,12.373,4.9253
19.841,10.47,4.9253
19.988,11.934,4.9253
20.061,7.1019,4.9253
20.061,9.9573,4.9253
20.134,8.1269,4.9253
20.281,7.5412,4.9253
20.427,9.4448,4.9253
20.866,10.982,4.9253
21.013,9.7377,4.9253
21.159,8.2734,4.9253
21.525,8.6395,4.9253
21.525,9.3716,4.9253
21.818,10.104,4.9253
14.716,13.179,4.9788
7.8341,24.015,6.2636
6.2233,21.891,6.3172
6.2233,22.77,6.3172
6.3698,23.136,6.3172
6.5894,22.404,6.3172
6.8091,23.063,6.3172
7.1019,21.672,6.3172
7.6144,20.427,6.3172
7.6876,22.917,6.3172
7.7609,22.331,6.3172
7.8341,24.527,6.3172
8.1269,20.281,6.3172
8.2734,21.013,6.3172
8.2734,23.356,6.3172
8.493,19.549,6.3172
8.493,24.161,6.3172
8.6395,22.038,6.3172
8.7127,23.356,6.3172
8.8591,21.086,6.3172
8.9323,22.038,6.3172
9.0787,19.841,6.3172
9.0787,20.5,6.3172
9.2984,22.477,6.3172
9.4448,19.109,6.3172
9.7377,20.647,6.3172
9.9573,22.99,6.3172
10.031,21.745,6.3172
10.25,19.915,6.3172
10.25,20.793,6.3172
10.397,22.258,6.3172
10.689,18.89,6.3172
11.202,18.157,6.3172
11.202,18.743,6.3172
11.348,17.572,6.3172
11.348,19.695,6.3172
11.861,18.304,6.3172
11.934,15.815,6.3172
12.3,15.522,6.3172
12.3,19.183,6.3172
12.373,18.743,6.3172
12.447,17.938,6.3172
12.447,19.988,6.3172
12.74,15.375,6.3172
12.886,14.863,6.3172
12.959,19.402,6.3172
13.032,18.157,6.3172
13.106,17.279,6.3172
13.472,18.45,6.3172
13.618,19.036,6.3172
13.838,13.691,6.3172
13.838,14.57,6.3172
13.838,15.522,6.3172
13.911,17.645,6.3172
14.204,16.327,6.3172
14.423,17.645,6.3172
14.497,15.522,6.3172
14.643,13.691,6.3172
14.79,16.4,6.3172
14.936,14.863,6.3172
15.009,13.106,6.3172
15.229,12.373,6.3172
15.375,17.059,6.3172
15.449,14.131,6.3172
15.449,15.522,6.3172
15.595,15.009,6.3172
15.668,13.032,6.3172
16.034,16.107,6.3172
16.181,12.154,6.3172
16.4,15.375,6.3172
16.766,13.984,6.3172
16.84,11.861,6.3172
16.986,12.74,6.3172
17.206,13.618,6.3172
17.279,10.25,6.3172
17.279,10.982,6.3172
17.279,14.423,6.3172
17.499,11.715,6.3172
17.718,12.227,6.3172
18.011,12.959,6.3172
18.157,10.689,6.3172
18.231,10.104,6.3172
18.45,13.398,6.3172
18.524,9.518,6.3172
18.524,11.422,6.3172
18.597,12.227,6.3172
18.89,10.982,6.3172
18.963,13.325,6.3172
19.036,8.8591,6.3172
19.329,10.397,6.3172
19.402,9.8841,6.3172
19.402,12.3,6.3172
19.475,8.4198,6.3172
19.768,9.0787,6.3172
19.768,11.934,6.3172
19.915,11.202,6.3172
20.061,12.007,6.3172
20.281,9.0055,6.3172
20.281,10.25,6.3172
20.354,8.2734,6.3172
20.5,7.5412,6.3172
20.574,9.4448,6.3172
21.159,9.7377,6.3172
21.306,9.0055,6.3172
21.818,9.4448,6.3172
22.111,9.6645,6.3172
