x,y,z
79,310,92
88,315,92
89,304,92
94,297,92
98,312,92
103,321,92
107,291,92
108,285,92
109,317,92
112,331,92
114,321,92
115,302,92
117,269,92
119,281,92
119,289,92
122,271,92
122,322,92
123,309,92
124,265,92
126,293,92
128,262,92
129,284,92
131,315,92
132,299,92
136,286,92
137,274,92
139,282,92
141,259,92
146,242,92
150,229,92
150,265,92
154,269,92
155,243,92
158,251,92
159,236,92
165,256,92
166,246,92
169,274,92
172,225,92
173,251,92
175,262,92
176,209,92
176,236,92
178,222,92
181,241,92
182,253,92
184,197,92
184,262,92
186,209,92
187,221,92
189,228,92
190,238,92
191,244,92
193,202,92
194,212,92
195,186,92
198,201,92
200,230,92
203,174,92
205,206,92
206,188,92
207,193,92
207,230,92
209,178,92
211,206,92
212,185,92
213,221,92
216,176,92
217,212,92
222,187,92
222,199,92
224,149,92
226,161,92
226,172,92
227,189,92
228,193,92
230,196,92
232,162,92
233,186,92
238,157,92
239,148,92
241,163,92
243,138,92
244,177,92
245,181,92
248,132,92
250,156,92
251,168,92
253,151,92
253,174,92
255,186,92
257,118,92
258,145,92
259,141,92
261,136,92
261,170,92
262,115,92
264,166,92
267,126,92
267,155,92
270,119,92
270,169,92
271,143,92
273,163,92
274,97,92
274,136,92
275,111,92
277,103,92
279,129,92
285,150,92
287,133,92
289,113,92
294,118,92
294,128,92
298,138,92
201,180,93
107,328,117
85,299,118
85,311,118
87,316,118
90,306,118
93,315,118
97,296,118
104,279,118
105,313,118
106,305,118
107,335,118
111,277,118
113,287,118
113,319,118
116,267,118
116,330,118
118,301,118
119,319,118
121,288,118
122,301,118
124,271,118
124,280,118
127,307,118
129,261,118
133,282,118
136,314,118
137,297,118
140,272,118
140,284,118
142,304,118
146,258,118
153,248,118
153,256,118
155,240,118
155,269,118
162,250,118
163,216,118
168,212,118
168,262,118
169,256,118
170,245,118
170,273,118
174,210,118
176,203,118
177,265,118
178,248,118
179,236,118
184,252,118
186,260,118
189,187,118
189,199,118
189,212,118
190,241,118
194,223,118
197,241,118
198,212,118
200,187,118
202,224,118
204,203,118
205,179,118
208,169,118
210,233,118
211,193,118
211,212,118
213,205,118
214,178,118
219,220,118
221,166,118
224,210,118
229,191,118
230,162,118
232,174,118
235,186,118
236,140,118
236,150,118
236,197,118
239,160,118
242,167,118
246,177,118
248,146,118
249,138,118
252,183,118
253,130,118
253,156,118
254,167,118
258,150,118
259,182,118
260,121,118
264,142,118
265,135,118
265,168,118
266,115,118
270,124,118
270,163,118
272,153,118
274,164,118
277,123,118
277,140,118
278,113,118
280,103,118
281,129,118
289,133,118
291,123,118
298,129,118
302,132,118
