x,y,z
110,268,18
110,295,36
110,319,10
110,338,36
111,264,24
111,281,18
111,340,10
112,278,24
113,268,10
113,281,10
113,333,10
114,275,18
114,301,18
114,318,24
114,324,10
115,265,36
115,308,10
115,340,24
116,306,36
117,297,24
117,298,10
117,300,36
119,302,18
119,318,10
120,319,36
121,263,18
121,292,18
122,288,24
123,341,36
124,335,18
125,264,24
126,273,18
126,324,10
127,278,10
127,284,36
127,326,36
127,332,24
128,284,18
128,292,18
128,301,10
128,322,24
129,313,10
129,316,36
130,277,24
130,308,36
131,270,24
131,292,10
132,307,24
133,323,36
133,332,36
133,341,36
135,297,36
135,336,24
136,286,18
137,326,24
137,331,18
139,278,24
139,343,36
140,313,36
141,313,10
142,265,10
142,319,24
142,322,18
142,342,10
144,266,18
144,285,10
144,286,18
144,292,24
144,309,24
145,265,24
145,272,36
145,277,18
145,333,24
146,285,36
147,329,36
147,342,36
148,270,18
148,296,36
149,309,24
149,342,24
150,321,36
151,300,24
154,305,18
154,313,24
154,334,10
155,294,36
155,307,24
155,315,18
156,304,36
156,328,18
156,343,18
157,300,10
157,334,36
158,282,10
158,340,10
159,267,36
159,342,24
160,264,18
160,271,36
160,276,18
160,288,10
162,324,24
163,318,36
164,341,18
165,342,10
166,274,36
166,292,24
166,311,24
166,333,18
166,335,36
167,265,10
167,286,36
167,295,18
167,304,24
167,319,18
168,301,18
168,329,24
168,339,18
169,268,36
169,276,24
169,323,36
170,270,24
170,281,10
170,294,24
171,340,36
172,288,24
172,291,18
172,333,10
173,279,36
173,315,24
174,298,18
175,322,18
175,330,36
176,306,24
176,312,18
177,285,24
177,299,36
177,328,18
178,272,10
178,341,10
179,265,18
180,294,24
180,313,36
180,322,24
180,335,18
181,330,36
181,339,36
182,267,10
182,301,36
183,262,18
184,301,18
184,308,24
184,340,18
185,282,24
185,290,36
185,297,24
185,321,36
187,303,24
188,334,24
190,341,24
191,275,36
191,281,24
192,290,36
192,334,36
193,342,36
194,265,24
196,287,18
197,274,36
197,281,24
198,272,10
198,294,18
199,287,36
201,263,10
201,291,24
201,299,18
201,333,36
202,266,24
205,267,36
205,272,10
206,268,18
206,274,24
212,272,36
212,280,36
213,265,36
213,280,24
213,289,18
213,291,36
214,269,24
214,299,18
214,303,10
215,274,18
215,342,36
216,296,24
218,293,10
218,337,36
219,290,36
219,328,36
220,282,36
220,303,36
220,317,36
221,307,24
222,265,24
222,273,24
222,284,24
222,292,18
222,338,24
223,276,10
223,315,24
223,321,36
224,299,10
224,304,18
224,327,24
225,286,10
225,312,10
225,327,10
226,277,18
226,343,10
227,270,36
229,265,24
229,276,24
229,278,36
230,273,18
231,286,36
231,291,18
232,311,36
232,315,24
232,318,18
232,321,24
232,325,18
232,341,36
232,343,24
233,278,10
233,296,10
233,333,10
234,302,36
236,274,36
237,263,36
237,267,18
237,333,24
238,263,24
238,341,18
239,267,24
239,292,10
239,313,18
240,273,18
241,325,18
241,341,24
242,285,18
243,303,24
244,273,36
244,327,24
244,341,10
244,343,18
246,278,24
246,320,36
247,289,10
247,296,36
248,267,36
248,273,18
248,280,10
248,309,10
248,333,18
249,342,36
250,317,24
250,326,18
251,311,36
251,327,36
252,278,18
252,307,18
254,300,24
255,263,18
256,337,24
257,340,36
258,267,24
258,280,36
258,314,24
258,321,18
259,298,10
259,325,24
259,330,36
260,263,36
260,336,10
261,281,10
261,317,36
261,327,10
261,331,18
261,342,18
262,274,18
263,290,18
263,309,18
264,296,10
265,302,24
267,266,18
267,276,36
267,295,36
268,310,24
269,276,10
270,264,24
270,298,10
270,325,10
271,307,18
271,339,10
272,303,36
272,334,24
272,338,18
273,272,24
273,286,10
273,290,36
273,329,36
274,264,10
274,270,36
274,272,18
274,283,18
274,299,18
274,320,18
275,270,10
275,281,24
275,308,36
275,318,24
275,328,18
276,264,18
276,290,18
276,297,24
276,312,10
276,315,36
276,325,10
276,334,10
277,300,10
